,index,game,session,round,player,player_id,is_bot,displayed_choice_eta,player_choice_eta,timeChoice,timeResults
72,72,all_apps_wide_2024-11-29,dd0x9f2p,1,vnlcdz11,1,False,0.0,0.0,2020.0,2368.0
73,73,all_apps_wide_2024-11-29,dd0x9f2p,1,7ldbespb,2,False,1.0,1.0,1366.0,2128.0
74,74,all_apps_wide_2024-11-29,dd0x9f2p,1,5c6z2lum,3,True,1.0,0.0,3330.0,1348.0
75,75,all_apps_wide_2024-11-29,dd0x9f2p,1,8pnpkcov,4,False,0.0,0.0,2781.0,2728.0
76,76,all_apps_wide_2024-11-29,dd0x9f2p,1,ib90amxr,5,True,1.0,1.0,3653.0,1634.0
77,77,all_apps_wide_2024-11-29,dd0x9f2p,2,vnlcdz11,1,False,1.0,1.0,966.0,1595.0
78,78,all_apps_wide_2024-11-29,dd0x9f2p,2,7ldbespb,2,False,1.0,1.0,306.0,1271.0
79,79,all_apps_wide_2024-11-29,dd0x9f2p,2,5c6z2lum,3,True,1.0,1.0,714.0,1378.0
80,80,all_apps_wide_2024-11-29,dd0x9f2p,2,8pnpkcov,4,False,1.0,1.0,648.0,1052.0
81,81,all_apps_wide_2024-11-29,dd0x9f2p,2,ib90amxr,5,True,1.0,1.0,763.0,1130.0
82,82,all_apps_wide_2024-11-29,dd0x9f2p,3,vnlcdz11,1,False,,,,
83,83,all_apps_wide_2024-11-29,dd0x9f2p,3,7ldbespb,2,False,,,,
84,84,all_apps_wide_2024-11-29,dd0x9f2p,3,5c6z2lum,3,True,,,,
85,85,all_apps_wide_2024-11-29,dd0x9f2p,3,8pnpkcov,4,False,,,,
86,86,all_apps_wide_2024-11-29,dd0x9f2p,3,ib90amxr,5,True,,,,
87,87,all_apps_wide_2024-11-29,dd0x9f2p,4,vnlcdz11,1,False,,,,
88,88,all_apps_wide_2024-11-29,dd0x9f2p,4,7ldbespb,2,False,,,,
89,89,all_apps_wide_2024-11-29,dd0x9f2p,4,5c6z2lum,3,True,,,,
90,90,all_apps_wide_2024-11-29,dd0x9f2p,4,8pnpkcov,4,False,,,,
91,91,all_apps_wide_2024-11-29,dd0x9f2p,4,ib90amxr,5,True,,,,
92,92,all_apps_wide_2024-11-29,dd0x9f2p,5,vnlcdz11,1,False,,,,
93,93,all_apps_wide_2024-11-29,dd0x9f2p,5,7ldbespb,2,False,,,,
94,94,all_apps_wide_2024-11-29,dd0x9f2p,5,5c6z2lum,3,True,,,,
95,95,all_apps_wide_2024-11-29,dd0x9f2p,5,8pnpkcov,4,False,,,,
96,96,all_apps_wide_2024-11-29,dd0x9f2p,5,ib90amxr,5,True,,,,
97,97,all_apps_wide_2024-11-29,dd0x9f2p,6,vnlcdz11,1,False,,,,
98,98,all_apps_wide_2024-11-29,dd0x9f2p,6,7ldbespb,2,False,,,,
99,99,all_apps_wide_2024-11-29,dd0x9f2p,6,5c6z2lum,3,True,,,,
100,100,all_apps_wide_2024-11-29,dd0x9f2p,6,8pnpkcov,4,False,,,,
101,101,all_apps_wide_2024-11-29,dd0x9f2p,6,ib90amxr,5,True,,,,
102,102,all_apps_wide_2024-11-29,dd0x9f2p,7,vnlcdz11,1,False,,,,
103,103,all_apps_wide_2024-11-29,dd0x9f2p,7,7ldbespb,2,False,,,,
104,104,all_apps_wide_2024-11-29,dd0x9f2p,7,5c6z2lum,3,True,,,,
105,105,all_apps_wide_2024-11-29,dd0x9f2p,7,8pnpkcov,4,False,,,,
106,106,all_apps_wide_2024-11-29,dd0x9f2p,7,ib90amxr,5,True,,,,
107,107,all_apps_wide_2024-11-29,dd0x9f2p,8,vnlcdz11,1,False,,,,
108,108,all_apps_wide_2024-11-29,dd0x9f2p,8,7ldbespb,2,False,,,,
109,109,all_apps_wide_2024-11-29,dd0x9f2p,8,5c6z2lum,3,True,,,,
110,110,all_apps_wide_2024-11-29,dd0x9f2p,8,8pnpkcov,4,False,,,,
111,111,all_apps_wide_2024-11-29,dd0x9f2p,8,ib90amxr,5,True,,,,
112,112,all_apps_wide_2024-11-29,dd0x9f2p,9,vnlcdz11,1,False,,,,
113,113,all_apps_wide_2024-11-29,dd0x9f2p,9,7ldbespb,2,False,,,,
114,114,all_apps_wide_2024-11-29,dd0x9f2p,9,5c6z2lum,3,True,,,,
115,115,all_apps_wide_2024-11-29,dd0x9f2p,9,8pnpkcov,4,False,,,,
116,116,all_apps_wide_2024-11-29,dd0x9f2p,9,ib90amxr,5,True,,,,
117,117,all_apps_wide_2024-11-29,dd0x9f2p,10,vnlcdz11,1,False,,,,
118,118,all_apps_wide_2024-11-29,dd0x9f2p,10,7ldbespb,2,False,,,,
119,119,all_apps_wide_2024-11-29,dd0x9f2p,10,5c6z2lum,3,True,,,,
120,120,all_apps_wide_2024-11-29,dd0x9f2p,10,8pnpkcov,4,False,,,,
121,121,all_apps_wide_2024-11-29,dd0x9f2p,10,ib90amxr,5,True,,,,
122,122,all_apps_wide_2024-11-29,dd0x9f2p,11,vnlcdz11,1,False,,,,
123,123,all_apps_wide_2024-11-29,dd0x9f2p,11,7ldbespb,2,False,,,,
124,124,all_apps_wide_2024-11-29,dd0x9f2p,11,5c6z2lum,3,True,,,,
125,125,all_apps_wide_2024-11-29,dd0x9f2p,11,8pnpkcov,4,False,,,,
126,126,all_apps_wide_2024-11-29,dd0x9f2p,11,ib90amxr,5,True,,,,
127,127,all_apps_wide_2024-11-29,dd0x9f2p,12,vnlcdz11,1,False,,,,
128,128,all_apps_wide_2024-11-29,dd0x9f2p,12,7ldbespb,2,False,,,,
129,129,all_apps_wide_2024-11-29,dd0x9f2p,12,5c6z2lum,3,True,,,,
130,130,all_apps_wide_2024-11-29,dd0x9f2p,12,8pnpkcov,4,False,,,,
131,131,all_apps_wide_2024-11-29,dd0x9f2p,12,ib90amxr,5,True,,,,
132,132,all_apps_wide_2024-11-29,dd0x9f2p,13,vnlcdz11,1,False,,,,
133,133,all_apps_wide_2024-11-29,dd0x9f2p,13,7ldbespb,2,False,,,,
134,134,all_apps_wide_2024-11-29,dd0x9f2p,13,5c6z2lum,3,True,,,,
135,135,all_apps_wide_2024-11-29,dd0x9f2p,13,8pnpkcov,4,False,,,,
136,136,all_apps_wide_2024-11-29,dd0x9f2p,13,ib90amxr,5,True,,,,
137,137,all_apps_wide_2024-11-29,dd0x9f2p,14,vnlcdz11,1,False,,,,
138,138,all_apps_wide_2024-11-29,dd0x9f2p,14,7ldbespb,2,False,,,,
139,139,all_apps_wide_2024-11-29,dd0x9f2p,14,5c6z2lum,3,True,,,,
140,140,all_apps_wide_2024-11-29,dd0x9f2p,14,8pnpkcov,4,False,,,,
141,141,all_apps_wide_2024-11-29,dd0x9f2p,14,ib90amxr,5,True,,,,
142,142,all_apps_wide_2024-11-29,dd0x9f2p,15,vnlcdz11,1,False,,,,
143,143,all_apps_wide_2024-11-29,dd0x9f2p,15,7ldbespb,2,False,,,,
144,144,all_apps_wide_2024-11-29,dd0x9f2p,15,5c6z2lum,3,True,,,,
145,145,all_apps_wide_2024-11-29,dd0x9f2p,15,8pnpkcov,4,False,,,,
146,146,all_apps_wide_2024-11-29,dd0x9f2p,15,ib90amxr,5,True,,,,
147,147,all_apps_wide_2024-11-29,dd0x9f2p,16,vnlcdz11,1,False,,,,
148,148,all_apps_wide_2024-11-29,dd0x9f2p,16,7ldbespb,2,False,,,,
149,149,all_apps_wide_2024-11-29,dd0x9f2p,16,5c6z2lum,3,True,,,,
150,150,all_apps_wide_2024-11-29,dd0x9f2p,16,8pnpkcov,4,False,,,,
151,151,all_apps_wide_2024-11-29,dd0x9f2p,16,ib90amxr,5,True,,,,
152,152,all_apps_wide_2024-11-29,dd0x9f2p,17,vnlcdz11,1,False,,,,
153,153,all_apps_wide_2024-11-29,dd0x9f2p,17,7ldbespb,2,False,,,,
154,154,all_apps_wide_2024-11-29,dd0x9f2p,17,5c6z2lum,3,True,,,,
155,155,all_apps_wide_2024-11-29,dd0x9f2p,17,8pnpkcov,4,False,,,,
156,156,all_apps_wide_2024-11-29,dd0x9f2p,17,ib90amxr,5,True,,,,
157,157,all_apps_wide_2024-11-29,dd0x9f2p,18,vnlcdz11,1,False,,,,
158,158,all_apps_wide_2024-11-29,dd0x9f2p,18,7ldbespb,2,False,,,,
159,159,all_apps_wide_2024-11-29,dd0x9f2p,18,5c6z2lum,3,True,,,,
160,160,all_apps_wide_2024-11-29,dd0x9f2p,18,8pnpkcov,4,False,,,,
161,161,all_apps_wide_2024-11-29,dd0x9f2p,18,ib90amxr,5,True,,,,
162,162,all_apps_wide_2024-11-29,dd0x9f2p,19,vnlcdz11,1,False,,,,
163,163,all_apps_wide_2024-11-29,dd0x9f2p,19,7ldbespb,2,False,,,,
164,164,all_apps_wide_2024-11-29,dd0x9f2p,19,5c6z2lum,3,True,,,,
165,165,all_apps_wide_2024-11-29,dd0x9f2p,19,8pnpkcov,4,False,,,,
166,166,all_apps_wide_2024-11-29,dd0x9f2p,19,ib90amxr,5,True,,,,
167,167,all_apps_wide_2024-11-29,dd0x9f2p,20,vnlcdz11,1,False,,,,
168,168,all_apps_wide_2024-11-29,dd0x9f2p,20,7ldbespb,2,False,,,,
169,169,all_apps_wide_2024-11-29,dd0x9f2p,20,5c6z2lum,3,True,,,,
170,170,all_apps_wide_2024-11-29,dd0x9f2p,20,8pnpkcov,4,False,,,,
171,171,all_apps_wide_2024-11-29,dd0x9f2p,20,ib90amxr,5,True,,,,
172,172,all_apps_wide_2024-11-29,dd0x9f2p,21,vnlcdz11,1,False,,,,
173,173,all_apps_wide_2024-11-29,dd0x9f2p,21,7ldbespb,2,False,,,,
174,174,all_apps_wide_2024-11-29,dd0x9f2p,21,5c6z2lum,3,True,,,,
175,175,all_apps_wide_2024-11-29,dd0x9f2p,21,8pnpkcov,4,False,,,,
176,176,all_apps_wide_2024-11-29,dd0x9f2p,21,ib90amxr,5,True,,,,
177,177,all_apps_wide_2024-11-29,dd0x9f2p,22,vnlcdz11,1,False,,,,
178,178,all_apps_wide_2024-11-29,dd0x9f2p,22,7ldbespb,2,False,,,,
179,179,all_apps_wide_2024-11-29,dd0x9f2p,22,5c6z2lum,3,True,,,,
180,180,all_apps_wide_2024-11-29,dd0x9f2p,22,8pnpkcov,4,False,,,,
181,181,all_apps_wide_2024-11-29,dd0x9f2p,22,ib90amxr,5,True,,,,
182,182,all_apps_wide_2024-11-29,dd0x9f2p,23,vnlcdz11,1,False,,,,
183,183,all_apps_wide_2024-11-29,dd0x9f2p,23,7ldbespb,2,False,,,,
184,184,all_apps_wide_2024-11-29,dd0x9f2p,23,5c6z2lum,3,True,,,,
185,185,all_apps_wide_2024-11-29,dd0x9f2p,23,8pnpkcov,4,False,,,,
186,186,all_apps_wide_2024-11-29,dd0x9f2p,23,ib90amxr,5,True,,,,
187,187,all_apps_wide_2024-11-29,dd0x9f2p,24,vnlcdz11,1,False,,,,
188,188,all_apps_wide_2024-11-29,dd0x9f2p,24,7ldbespb,2,False,,,,
189,189,all_apps_wide_2024-11-29,dd0x9f2p,24,5c6z2lum,3,True,,,,
190,190,all_apps_wide_2024-11-29,dd0x9f2p,24,8pnpkcov,4,False,,,,
191,191,all_apps_wide_2024-11-29,dd0x9f2p,24,ib90amxr,5,True,,,,
192,0,all_apps_wide_2024-12-06,5m4a8uoo,1,ciq5t1rm,1,False,0.0,0.0,2631.0,1185.0
193,1,all_apps_wide_2024-12-06,5m4a8uoo,1,uknfogys,2,False,0.0,0.0,2323.0,1496.0
